REFSEQ,logFC,AveExpre,T,Pvalue,Adj.P.Value,B
NP_694593,-0.562398804,7.495233291,-2.003538388,0.046652518,0.982857705,-4.092750663
XM_005266892,-0.562398804,7.495233291,-2.003538388,0.046652518,0.982857705,-4.092750663
XM_017010650,-0.562398804,7.495233291,-2.003538388,0.046652518,0.982857705,-4.092750663
XM_017010651,-0.562398804,7.495233291,-2.003538388,0.046652518,0.982857705,-4.092750663
XM_017010652,-0.562398804,7.495233291,-2.003538388,0.046652518,0.982857705,-4.092750663
XM_017010653,-0.562398804,7.495233291,-2.003538388,0.046652518,0.982857705,-4.092750663
XM_017010655,-0.562398804,7.495233291,-2.003538388,0.046652518,0.982857705,-4.092750663
XP_005266949,-0.562398804,7.495233291,-2.003538388,0.046652518,0.982857705,-4.092750663
XP_016866139,-0.562398804,7.495233291,-2.003538388,0.046652518,0.982857705,-4.092750663
XP_016866140,-0.562398804,7.495233291,-2.003538388,0.046652518,0.982857705,-4.092750663
XP_016866141,-0.562398804,7.495233291,-2.003538388,0.046652518,0.982857705,-4.092750663
XP_016866142,-0.562398804,7.495233291,-2.003538388,0.046652518,0.982857705,-4.092750663
XP_016866144,-0.562398804,7.495233291,-2.003538388,0.046652518,0.982857705,-4.092750663
NM_001146705,-2.590808208,2.153799219,-2.467134693,0.014575825,0.982857705,-3.729796831
NM_001146706,-2.590808208,2.153799219,-2.467134693,0.014575825,0.982857705,-3.729796831
NM_004653,-2.590808208,2.153799219,-2.467134693,0.014575825,0.982857705,-3.729796831
NP_001140177,-2.590808208,2.153799219,-2.467134693,0.014575825,0.982857705,-3.729796831
NP_001140178,-2.590808208,2.153799219,-2.467134693,0.014575825,0.982857705,-3.729796831
NP_004644,-2.590808208,2.153799219,-2.467134693,0.014575825,0.982857705,-3.729796831
XM_005262560,-2.590808208,2.153799219,-2.467134693,0.014575825,0.982857705,-3.729796831
XM_005262561,-2.590808208,2.153799219,-2.467134693,0.014575825,0.982857705,-3.729796831
XM_011531468,-2.590808208,2.153799219,-2.467134693,0.014575825,0.982857705,-3.729796831
XM_024452495,-2.590808208,2.153799219,-2.467134693,0.014575825,0.982857705,-3.729796831
XM_024452496,-2.590808208,2.153799219,-2.467134693,0.014575825,0.982857705,-3.729796831
XP_005262617,-2.590808208,2.153799219,-2.467134693,0.014575825,0.982857705,-3.729796831
XP_005262618,-2.590808208,2.153799219,-2.467134693,0.014575825,0.982857705,-3.729796831
XP_011529770,-2.590808208,2.153799219,-2.467134693,0.014575825,0.982857705,-3.729796831
XP_024308263,-2.590808208,2.153799219,-2.467134693,0.014575825,0.982857705,-3.729796831
XP_024308264,-2.590808208,2.153799219,-2.467134693,0.014575825,0.982857705,-3.729796831
XR_001756009,-2.590808208,2.153799219,-2.467134693,0.014575825,0.982857705,-3.729796831
XR_001756010,-2.590808208,2.153799219,-2.467134693,0.014575825,0.982857705,-3.729796831
XR_001756011,-2.590808208,2.153799219,-2.467134693,0.014575825,0.982857705,-3.729796831
XR_001756012,-2.590808208,2.153799219,-2.467134693,0.014575825,0.982857705,-3.729796831
XR_001756013,-2.590808208,2.153799219,-2.467134693,0.014575825,0.982857705,-3.729796831
XR_002958832,-2.590808208,2.153799219,-2.467134693,0.014575825,0.982857705,-3.729796831
XR_002958833,-2.590808208,2.153799219,-2.467134693,0.014575825,0.982857705,-3.729796831
XR_002958834,-2.590808208,2.153799219,-2.467134693,0.014575825,0.982857705,-3.729796831
XR_002958835,-2.590808208,2.153799219,-2.467134693,0.014575825,0.982857705,-3.729796831
